time	V(n002)
0.000000000000000e+00	0.000000e+00
5.194140673125958e-10	3.264108e-13
1.038828134625192e-09	6.530704e-13
8.471450508051544e-06	5.266055e-09
1.694186218796846e-05	1.117606e-08
2.541227386788538e-05	1.773066e-08
3.388268554780230e-05	2.492985e-08
4.235309722771922e-05	3.277365e-08
5.082350890763614e-05	4.126204e-08
5.929392058755304e-05	5.039504e-08
8.231974032221591e-05	8.486874e-08
1.024645113028516e-04	1.340214e-07
1.206427593755874e-04	2.090862e-07
1.377550727129230e-04	3.328581e-07
1.559880164524373e-04	5.634472e-07
1.725187193046440e-04	9.337677e-07
1.893969771141134e-04	1.597363e-06
2.053539965116516e-04	2.693752e-06
2.214924928837574e-04	4.616397e-06
2.371828870558487e-04	7.847148e-06
2.529919875576575e-04	1.345027e-05
2.685878667695080e-04	2.295071e-05
2.842633892833620e-04	3.933067e-05
2.998413486488153e-04	6.723413e-05
3.154765451325175e-04	1.151893e-04
3.310777921627166e-04	1.970767e-04
3.467338694082403e-04	3.375524e-04
3.624086611688747e-04	5.776827e-04
3.781717588714577e-04	9.890987e-04
3.940426527927751e-04	1.692474e-03
4.101269659783612e-04	2.896133e-03
4.265558398619254e-04	4.953475e-03
4.436064711671119e-04	8.477035e-03
4.617681667393701e-04	1.453880e-02
4.819859163177295e-04	2.511474e-02
5.066962491216134e-04	4.389247e-02
5.313886520503524e-04	6.877206e-02
5.573111267004898e-04	1.005867e-01
5.906954832921128e-04	1.467671e-01
6.310063579114436e-04	2.061850e-01
6.768002519649255e-04	2.756234e-01
7.764166367856707e-04	4.279486e-01
9.396610564285279e-04	6.772168e-01
1.102905476071385e-03	9.212468e-01
1.266149895714242e-03	1.160038e+00
1.429394315357100e-03	1.393592e+00
1.592638734999957e-03	1.621907e+00
1.755883154642814e-03	1.844984e+00
1.919127574285671e-03	2.062822e+00
2.163994203749957e-03	2.377077e+00
2.408860833214242e-03	2.669455e+00
2.653727462678528e-03	2.939957e+00
2.898594092142814e-03	3.188582e+00
3.143460721607100e-03	3.415330e+00
3.388327351071386e-03	3.620203e+00
3.633193980535671e-03	3.803198e+00
3.759337395714242e-03	3.885848e+00
3.885480810892813e-03	3.961548e+00
4.011624226071383e-03	4.030298e+00
4.137767641249954e-03	4.092099e+00
4.263911056428525e-03	4.146950e+00
4.390054471607095e-03	4.194852e+00
4.516197886785666e-03	4.235804e+00
4.672022105535665e-03	4.277235e+00
4.775904918035664e-03	4.299389e+00
4.879787730535663e-03	4.317388e+00
4.931729136785663e-03	4.324905e+00
4.983670543035662e-03	4.331482e+00
5.035611949285662e-03	4.337162e+00
5.087553355535662e-03	4.341990e+00
5.139494761785661e-03	4.346019e+00
5.191436168035661e-03	4.349305e+00
5.243377574285660e-03	4.351907e+00
5.295318980535660e-03	4.353889e+00
5.347260386785659e-03	4.355317e+00
5.399201793035659e-03	4.356258e+00
5.451143199285659e-03	4.356781e+00
5.503084605535658e-03	4.356948e+00
5.555026011785658e-03	4.356823e+00
5.606967418035657e-03	4.356462e+00
5.658908824285657e-03	4.355916e+00
5.710850230535656e-03	4.355228e+00
5.762791636785656e-03	4.354434e+00
5.814733043035656e-03	4.353564e+00
5.866674449285655e-03	4.352640e+00
5.918615855535655e-03	4.351680e+00
5.970557261785654e-03	4.350696e+00
6.018243849731218e-03	4.349779e+00
6.065514446582941e-03	4.348861e+00
6.113458792675907e-03	4.347925e+00
6.165400198925907e-03	4.346908e+00
6.217341605175906e-03	4.345888e+00
6.269283011425906e-03	4.344868e+00
6.321224417675905e-03	4.343847e+00
6.373165823925905e-03	4.342826e+00
6.425107230175905e-03	4.341805e+00
6.477048636425904e-03	4.340785e+00
6.528990042675904e-03	4.339764e+00
6.580931448925903e-03	4.338744e+00
6.632872855175903e-03	4.337724e+00
6.736755667675902e-03	4.335684e+00
7.003882899818759e-03	4.330444e+00
7.271010131961616e-03	4.325210e+00
7.538137364104473e-03	4.319983e+00
7.805264596247330e-03	4.314762e+00
8.072391828390186e-03	4.309548e+00
8.339519060533044e-03	4.304339e+00
8.606646292675900e-03	4.299137e+00
8.762470511425901e-03	4.296106e+00
8.918294730175903e-03	4.293076e+00
9.074118948925904e-03	4.290049e+00
9.229943167675905e-03	4.287024e+00
9.385767386425907e-03	4.284001e+00
9.541591605175908e-03	4.280979e+00
9.697415823925909e-03	4.277960e+00
1.000906426142591e-02	4.271929e+00
1.010552687303306e-02	4.270064e+00
1.020198948464020e-02	4.268200e+00
1.029845209624734e-02	4.266337e+00
1.039491470785449e-02	4.264474e+00
1.049137731946163e-02	4.262612e+00
