time	V(n002)
0.000000000000000e+00	0.000000e+00
5.194140673125958e-10	1.043627e-13
1.038828134625192e-09	2.088049e-13
8.471352697261658e-06	1.683714e-09
1.694166656638869e-05	3.573368e-09
2.541198043551572e-05	5.669170e-09
3.388229430464275e-05	7.971120e-09
4.235260817376979e-05	1.047922e-08
5.082292204289682e-05	1.319346e-08
5.929323591202383e-05	1.611386e-08
8.231912947624393e-05	2.713750e-08
1.024641850427404e-04	4.285522e-08
1.206426869083793e-04	6.685885e-08
1.377551575495729e-04	1.064375e-07
1.559883068580588e-04	1.801732e-07
1.725190684987857e-04	2.985906e-07
1.893973399762409e-04	5.107891e-07
2.053541919819580e-04	8.613822e-07
2.214923301143739e-04	1.476190e-06
2.371820075358404e-04	2.509297e-06
2.529898220212233e-04	4.301037e-06
2.685834539924794e-04	7.339072e-06
2.842550662269025e-04	1.257712e-05
2.998263230254412e-04	2.150047e-05
3.154499548733748e-04	3.683700e-05
3.310314108000512e-04	6.302755e-05
3.466534305954564e-04	1.079629e-04
3.622698369093551e-04	1.847932e-04
3.779324019050917e-04	3.164737e-04
3.936302077357547e-04	5.417221e-04
4.094147881744438e-04	9.274499e-04
4.253215744311977e-04	1.587147e-03
4.414502903182477e-04	2.715825e-03
4.579465933699343e-04	4.645805e-03
4.750927507007569e-04	7.952943e-03
4.933954329431064e-04	1.365149e-02
5.137993320166912e-04	2.361722e-02
5.386775827062157e-04	4.138805e-02
5.642605093566490e-04	6.588882e-02
5.913410091383184e-04	9.787901e-02
6.250706908205027e-04	1.434326e-01
6.703583420312773e-04	2.093238e-01
7.192104910089804e-04	2.828788e-01
7.698224801701603e-04	3.599632e-01
9.256466989201605e-04	5.980349e-01
1.081470917670161e-03	8.314685e-01
1.237295136420161e-03	1.060264e+00
1.393119355170161e-03	1.284421e+00
1.548943573920161e-03	1.503940e+00
1.704767792670161e-03	1.718821e+00
1.860592011420160e-03	1.929064e+00
2.105458640884446e-03	2.247821e+00
2.350325270348732e-03	2.545061e+00
2.595191899813018e-03	2.820785e+00
2.840058529277304e-03	3.074994e+00
3.084925158741590e-03	3.307687e+00
3.329791788205875e-03	3.518864e+00
3.574658417670161e-03	3.708525e+00
3.700801832848731e-03	3.794669e+00
3.826945248027303e-03	3.873879e+00
3.953088663205873e-03	3.946156e+00
4.079232078384444e-03	4.011501e+00
4.205375493563015e-03	4.069912e+00
4.331518908741586e-03	4.121391e+00
4.457662323920157e-03	4.165936e+00
4.524444131955871e-03	4.186677e+00
4.591225939991584e-03	4.205660e+00
4.658007748027298e-03	4.222885e+00
4.724789556063012e-03	4.238353e+00
4.791571364098726e-03	4.252062e+00
4.858353172134439e-03	4.264014e+00
4.925134980170153e-03	4.274208e+00
4.977076386420152e-03	4.281178e+00
5.029017792670152e-03	4.287265e+00
5.080959198920152e-03	4.292516e+00
5.132900605170151e-03	4.296986e+00
5.184842011420151e-03	4.300730e+00
5.236783417670150e-03	4.303811e+00
5.288724823920150e-03	4.306293e+00
5.340666230170149e-03	4.308244e+00
5.392607636420149e-03	4.309730e+00
5.444549042670149e-03	4.310819e+00
5.496490448920148e-03	4.311575e+00
5.548431855170148e-03	4.312059e+00
5.600373261420147e-03	4.312325e+00
5.652314667670147e-03	4.312422e+00
5.704256073920146e-03	4.312391e+00
5.756197480170146e-03	4.312265e+00
5.808138886420146e-03	4.312072e+00
5.860080292670145e-03	4.311832e+00
5.912021698920145e-03	4.311561e+00
5.957330817119915e-03	4.311307e+00
5.999930535631869e-03	4.311059e+00
6.044901443539102e-03	4.310790e+00
6.085590532002899e-03	4.310542e+00
6.124876120530704e-03	4.310301e+00
6.162575266839053e-03	4.310068e+00
6.199356090286764e-03	4.309840e+00
6.235355000032547e-03	4.309617e+00
6.270997492539756e-03	4.309395e+00
6.306637096401590e-03	4.309173e+00
6.342731277541495e-03	4.308948e+00
6.379789717236294e-03	4.308717e+00
6.418425444033720e-03	4.308476e+00
6.459353595662067e-03	4.308221e+00
6.503405663829130e-03	4.307946e+00
6.552344194597407e-03	4.307641e+00
6.604285600847406e-03	4.307317e+00
6.656227007097406e-03	4.306993e+00
6.760109819597405e-03	4.306346e+00
7.027237051740262e-03	4.304681e+00
7.294364283883119e-03	4.303017e+00
7.561491516025975e-03	4.301354e+00
7.828618748168833e-03	4.299691e+00
8.095745980311689e-03	4.298029e+00
8.362873212454547e-03	4.296367e+00
8.630000444597403e-03	4.294706e+00
8.785824663347404e-03	4.293738e+00
8.941648882097405e-03	4.292769e+00
9.097473100847407e-03	4.291801e+00
9.253297319597408e-03	4.290834e+00
9.409121538347410e-03	4.289866e+00
9.564945757097411e-03	4.288899e+00
9.720769975847412e-03	4.287931e+00
9.802392185668841e-03	4.287425e+00
9.884014395490271e-03	4.286919e+00
9.965636605311700e-03	4.286412e+00
1.004725881513313e-02	4.285906e+00
1.012888102495456e-02	4.285399e+00
1.021050323477599e-02	4.284893e+00
1.029212544459742e-02	4.284387e+00
1.045536986424028e-02	4.283374e+00
1.061861428388313e-02	4.282363e+00
1.078185870352599e-02	4.281351e+00
1.094510312316885e-02	4.280339e+00
1.110834754281171e-02	4.279328e+00
1.127159196245457e-02	4.278317e+00
1.143483638209743e-02	4.277307e+00
1.170938381513314e-02	4.275607e+00
1.198393124816886e-02	4.273908e+00
1.225847868120458e-02	4.272210e+00
1.253302611424029e-02	4.270513e+00
1.280757354727601e-02	4.268816e+00
1.308212098031173e-02	4.267120e+00
1.335666841334744e-02	4.265425e+00
1.390576327941887e-02	4.262036e+00
1.445485814549029e-02	4.258650e+00
