time	V(n002)
0.000000000000000e+00	0.000000e+00
1.785714281205791e-08	2.333945e-05
3.571428562411583e-08	4.370683e-05
5.357142843617374e-08	6.110216e-05
7.142857124823165e-08	7.552542e-05
8.928571406028956e-08	8.697661e-05
1.071428568723475e-07	9.545575e-05
1.249999996844053e-07	1.009628e-04
2.017130446633477e-07	1.227356e-04
4.052109274632836e-07	1.374449e-04
5.624786042458591e-06	1.413130e-04
1.084436115745390e-05	1.465252e-04
1.606393627244921e-05	1.530815e-04
2.128351138744452e-05	1.609819e-04
2.650308650243982e-05	1.702264e-04
3.172266161743513e-05	1.808150e-04
3.694223673243042e-05	1.927478e-04
7.360518503508496e-05	3.849745e-04
1.076564269461564e-04	8.818922e-04
1.357178788941213e-04	1.928372e-03
1.598940506051112e-04	3.935006e-03
1.831522252874750e-04	7.749228e-03
2.075209378359933e-04	1.479657e-02
2.328418994594966e-04	2.659193e-02
2.652565246252317e-04	4.897672e-02
3.140846496252317e-04	9.352437e-02
3.629127746252316e-04	1.467834e-01
4.117408996252316e-04	2.061689e-01
4.605690246252316e-04	2.692566e-01
5.582252746252317e-04	4.018526e-01
6.419306317680890e-04	5.203609e-01
7.256359889109462e-04	6.391109e-01
8.093413460538034e-04	7.581025e-01
8.930467031966606e-04	8.773358e-01
9.767520603395179e-04	9.968107e-01
1.060457417482375e-03	1.116527e+00
1.144162774625232e-03	1.236485e+00
1.346450721053804e-03	1.524164e+00
1.548738667482375e-03	1.801754e+00
1.751026613910946e-03	2.069256e+00
1.953314560339517e-03	2.326668e+00
2.155602506768089e-03	2.573992e+00
2.357890453196660e-03	2.811226e+00
2.560178399625231e-03	3.038372e+00
2.929877060339515e-03	3.418765e+00
3.299575721053800e-03	3.737872e+00
3.669274381768084e-03	3.995694e+00
4.038973042482369e-03	4.192230e+00
4.408671703196653e-03	4.327480e+00
4.778370363910938e-03	4.401445e+00
5.148069024625222e-03	4.414124e+00
5.496841346053792e-03	4.353052e+00
5.845613667482362e-03	4.238985e+00
6.194385988910932e-03	4.071924e+00
6.543158310339503e-03	3.851869e+00
6.891930631768073e-03	3.578820e+00
7.240702953196644e-03	3.252777e+00
7.589475274625213e-03	2.873740e+00
7.784787774625216e-03	2.645173e+00
7.980100274625219e-03	2.407967e+00
8.175412774625220e-03	2.162123e+00
8.370725274625223e-03	1.907641e+00
8.566037774625225e-03	1.644520e+00
8.761350274625226e-03	1.372760e+00
8.956662774625229e-03	1.092362e+00
9.026417238910945e-03	9.919427e-01
9.096171703196659e-03	8.918287e-01
9.165926167482375e-03	7.920203e-01
9.235680631768091e-03	6.925173e-01
9.305435096053806e-03	5.933199e-01
9.375189560339520e-03	4.944280e-01
9.444944024625236e-03	3.958417e-01
9.542600274625238e-03	2.628483e-01
9.591428399625238e-03	1.993841e-01
9.640256524625239e-03	1.396303e-01
9.689084649625240e-03	8.625405e-02
9.737912774625240e-03	4.261002e-02
