time	V(n002)
0.000000000000000e+00	0.000000e+00
5.194140673125958e-10	1.534128e-12
1.038828134625192e-09	3.069426e-12
8.471980045401554e-06	2.474966e-08
1.694292126266848e-05	5.252172e-08
2.541386247993541e-05	8.331924e-08
3.388480369720234e-05	1.171422e-07
4.235574491446927e-05	1.539907e-07
5.082668613173620e-05	1.938646e-07
5.929762734900311e-05	2.367640e-07
8.232304361431636e-05	3.986756e-07
1.024662683837750e-04	6.295147e-07
1.206431380366156e-04	9.820525e-07
1.377545970840589e-04	1.563359e-06
1.559864236152340e-04	2.646329e-06
1.725168074173656e-04	4.385589e-06
1.893949912040393e-04	7.502198e-06
2.053529210232305e-04	1.265148e-05
2.214933652631012e-04	2.168113e-05
2.371876567763329e-04	3.685406e-05
2.530037506011782e-04	6.316756e-05
2.686118530857536e-04	1.077812e-04
2.843086530774259e-04	1.846935e-04
2.999231100376308e-04	3.156940e-04
3.156213572038198e-04	5.407761e-04
3.313307356968729e-04	9.249620e-04
3.471735748346933e-04	1.583609e-03
3.631705773717518e-04	2.708487e-03
3.794946577325322e-04	4.633821e-03
3.963504212978402e-04	7.925665e-03
4.142011513069251e-04	1.358211e-02
4.338532649387882e-04	2.339636e-02
4.574016287148526e-04	4.060649e-02
4.807082779728890e-04	6.344725e-02
5.062192821815539e-04	9.418368e-02
5.363742358455891e-04	1.354764e-01
5.753292032591831e-04	1.927185e-01
6.201382734281484e-04	2.606848e-01
6.650119570946031e-04	3.294733e-01
8.208361758446031e-04	5.692434e-01
9.766603945946034e-04	8.047089e-01
1.132484613344603e-03	1.035870e+00
1.288308832094603e-03	1.262726e+00
1.444133050844603e-03	1.485278e+00
1.599957269594604e-03	1.703525e+00
1.755781488344603e-03	1.917467e+00
2.015488519594604e-03	2.262413e+00
2.275195550844604e-03	2.583419e+00
2.534902582094604e-03	2.880487e+00
2.794609613344604e-03	3.153615e+00
3.054316644594604e-03	3.402805e+00
3.314023675844604e-03	3.628055e+00
3.573730707094604e-03	3.829367e+00
3.707294323166032e-03	3.919712e+00
3.840857939237460e-03	4.002161e+00
3.974421555308887e-03	4.076716e+00
4.107985171380315e-03	4.143376e+00
4.241548787451743e-03	4.202141e+00
4.375112403523171e-03	4.253010e+00
4.508676019594599e-03	4.295985e+00
4.575457827630313e-03	4.314444e+00
4.642239635666026e-03	4.331056e+00
4.709021443701740e-03	4.345821e+00
4.775803251737454e-03	4.358739e+00
4.842585059773168e-03	4.369811e+00
4.909366867808881e-03	4.379037e+00
4.976148675844595e-03	4.386415e+00
5.028090082094595e-03	4.391073e+00
5.080031488344594e-03	4.394753e+00
5.131972894594594e-03	4.397492e+00
5.183914300844594e-03	4.399334e+00
5.235855707094593e-03	4.400326e+00
5.287797113344593e-03	4.400519e+00
5.339738519594592e-03	4.399971e+00
5.391679925844592e-03	4.398743e+00
5.443621332094591e-03	4.396897e+00
5.495562738344591e-03	4.394500e+00
5.547504144594591e-03	4.391620e+00
5.599445550844590e-03	4.388324e+00
5.651386957094590e-03	4.384676e+00
5.703328363344589e-03	4.380740e+00
5.755269769594589e-03	4.376571e+00
5.807211175844589e-03	4.372220e+00
5.859152582094588e-03	4.367731e+00
5.911093988344588e-03	4.363140e+00
5.963035394594587e-03	4.358477e+00
6.014976800844587e-03	4.353765e+00
6.066918207094586e-03	4.349020e+00
6.118859613344586e-03	4.344257e+00
6.170801019594586e-03	4.339483e+00
6.222742425844585e-03	4.334703e+00
6.274683832094585e-03	4.329924e+00
6.326625238344584e-03	4.325146e+00
6.378566644594584e-03	4.320371e+00
6.430508050844583e-03	4.315600e+00
6.482449457094583e-03	4.310834e+00
6.534390863344583e-03	4.306073e+00
6.586332269594582e-03	4.301317e+00
6.638273675844582e-03	4.296566e+00
6.690215082094581e-03	4.291820e+00
6.794097894594581e-03	4.282344e+00
7.061225126737437e-03	4.258076e+00
7.328352358880295e-03	4.233943e+00
7.595479591023152e-03	4.209946e+00
7.862606823166009e-03	4.186084e+00
8.129734055308866e-03	4.162358e+00
8.396861287451724e-03	4.138768e+00
8.663988519594580e-03	4.115313e+00
8.819812738344581e-03	4.101691e+00
8.975636957094583e-03	4.088115e+00
9.131461175844584e-03	4.074583e+00
9.287285394594585e-03	4.061096e+00
9.443109613344587e-03	4.047654e+00
9.598933832094588e-03	4.034256e+00
